id before_type
197971 FIRST
197967 TREATMENT_EVENT
197969 FIRST
197968 FIRST
197964 FIRST
197960 FIRST
197962 FIRST
197966 TREATMENT_EVENT
197963 FIRST
197961 FIRST
197970 FIRST
197965 FIRST
191663 FIRST
191703 FIRST
191676 FIRST
191671 FIRST
192861 FIRST
191666 FIRST
191674 FIRST
191678 TREATMENT_EVENT
192881 FIRST
192864 FIRST
191686 FIRST
191679 TREATMENT_EVENT
192863 FIRST
192871 TREATMENT_EVENT
191705 FIRST
191688 FIRST
192842 FIRST
192857 FIRST
191669 FIRST
192880 TREATMENT_EVENT
192866 FIRST
192836 TREATMENT_EVENT
192870 TREATMENT_EVENT
191694 TREATMENT_EVENT
191672 FIRST
191702 FIRST
192878 FIRST
191687 FIRST
192884 CONDITION_EVENT
191673 FIRST
192860 FIRST
192877 FIRST
191680 FIRST
192875 FIRST
192845 FIRST
192838 FIRST
191685 FIRST
191693 FIRST
192868 TREATMENT_EVENT
191704 FIRST
192855 TREATMENT_EVENT
191683 FIRST
192850 FIRST
191664 FIRST
192856 FIRST
192852 TREATMENT_EVENT
191709 FIRST
192862 FIRST
192858 FIRST
191668 FIRST
192874 FIRST
191696 TREATMENT_EVENT
192849 FIRST
191667 CONDITION_EVENT
192848 FIRST
191697 TREATMENT_EVENT
191712 FIRST
191677 TREATMENT_EVENT
191665 FIRST
192873 FIRST
191708 FIRST
191713 VISIT_EVENT
191707 FIRST
191711 FIRST
191695 FIRST
192844 TREATMENT_EVENT
192854 FIRST
191675 FIRST
191691 FIRST
192839 FIRST
192883 FIRST
191682 FIRST
191681 TREATMENT_EVENT
192869 FIRST
192859 FIRST
191690 FIRST
192847 FIRST
191692 FIRST
192837 FIRST
191689 FIRST
192841 FIRST
192853 FIRST
192840 TREATMENT_EVENT
192879 FIRST
191710 FIRST
192846 TREATMENT_EVENT
191670 FIRST
192876 FIRST
191701 FIRST
192843 TREATMENT_EVENT
192865 FIRST
191700 FIRST
191698 TREATMENT_EVENT
192882 VISIT_EVENT
192867 FIRST
192851 TREATMENT_EVENT
191684 FIRST
191699 FIRST
191706 FIRST
192872 FIRST
189063 FIRST
189084 VISIT_EVENT
189086 FIRST
189054 FIRST
189080 FIRST
189085 FIRST
189095 FIRST
189090 FIRST
189072 FIRST
189055 FIRST
189073 FIRST
189096 VISIT_EVENT
189094 FIRST
189077 FIRST
189079 TREATMENT_EVENT
189083 TREATMENT_EVENT
189060 TREATMENT_EVENT
189062 TREATMENT_EVENT
189088 FIRST
189074 FIRST
189066 FIRST
189056 FIRST
189075 TREATMENT_EVENT
189091 FIRST
189067 FIRST
189064 FIRST
189059 FIRST
189058 FIRST
189093 FIRST
189065 FIRST
189082 FIRST
189057 TREATMENT_EVENT
189061 FIRST
189053 FIRST
189081 TREATMENT_EVENT
189068 FIRST
189087 FIRST
189092 FIRST
189076 TREATMENT_EVENT
189089 FIRST
189078 TREATMENT_EVENT
189070 FIRST
189069 FIRST
189071 FIRST
187816 VISIT_EVENT
187808 FIRST
187815 FIRST
187810 FIRST
187814 TREATMENT_EVENT
187806 FIRST
187809 FIRST
187812 FIRST
187807 FIRST
187811 FIRST
187813 TREATMENT_EVENT
183390 FIRST
185444 FIRST
185446 FIRST
183388 FIRST
183022 CONDITION_EVENT
185455 FIRST
185456 TREATMENT_EVENT
183399 FIRST
183032 FIRST
185454 TREATMENT_EVENT
183036 CONDITION_EVENT
183023 FIRST
183018 FIRST
183386 FIRST
183030 TREATMENT_EVENT
183035 VISIT_EVENT
185451 FIRST
183397 FIRST
183412 VISIT_EVENT
183407 FIRST
185457 FIRST
183406 FIRST
183404 TREATMENT_EVENT
185452 TREATMENT_EVENT
183026 FIRST
183392 TREATMENT_EVENT
183394 TREATMENT_EVENT
183410 FIRST
185449 FIRST
183387 FIRST
183396 FIRST
183029 FIRST
183031 TREATMENT_EVENT
185448 FIRST
183411 VISIT_EVENT
183024 FIRST
183027 TREATMENT_EVENT
183393 FIRST
185459 VISIT_EVENT
183034 FIRST
183400 FIRST
183403 TREATMENT_EVENT
183021 FIRST
183028 TREATMENT_EVENT
183409 FIRST
183398 FIRST
183389 FIRST
185453 FIRST
183402 TREATMENT_EVENT
183405 FIRST
185447 FIRST
185445 FIRST
183401 FIRST
185450 FIRST
183020 TREATMENT_EVENT
183408 FIRST
185458 FIRST
183016 TREATMENT_EVENT
183017 FIRST
183015 FIRST
183033 FIRST
183385 FIRST
183014 FIRST
183025 TREATMENT_EVENT
183019 FIRST
183395 FIRST
183391 TREATMENT_EVENT
180270 TREATMENT_EVENT
181331 FIRST
180721 TREATMENT_EVENT
181916 FIRST
182615 FIRST
181913 FIRST
181900 TREATMENT_EVENT
182610 TREATMENT_EVENT
181905 FIRST
180969 TREATMENT_EVENT
181896 FIRST
180269 TREATMENT_EVENT
181327 TREATMENT_EVENT
181898 TREATMENT_EVENT
181895 FIRST
181901 FIRST
182624 FIRST
181919 FIRST
182604 FIRST
180264 FIRST
181902 FIRST
180974 FIRST
182622 FIRST
180259 FIRST
182617 TREATMENT_EVENT
181897 FIRST
180963 FIRST
181336 VISIT_EVENT
181910 TREATMENT_EVENT
182620 FIRST
180256 FIRST
180971 TREATMENT_EVENT
180713 FIRST
182621 VISIT_EVENT
180973 FIRST
180265 FIRST
181899 FIRST
180970 FIRST
180247 FIRST
181324 FIRST
180716 FIRST
182602 FIRST
180967 FIRST
181321 FIRST
181328 FIRST
182616 TREATMENT_EVENT
180977 VISIT_EVENT
180268 TREATMENT_EVENT
180254 TREATMENT_EVENT
181892 FIRST
182611 FIRST
180715 FIRST
180251 FIRST
180261 FIRST
182614 TREATMENT_EVENT
180249 FIRST
180246 FIRST
181332 FIRST
181893 FIRST
181911 TREATMENT_EVENT
182603 FIRST
181334 FIRST
182605 FIRST
180968 TREATMENT_EVENT
182623 FIRST
181909 FIRST
180714 FIRST
180266 FIRST
182612 FIRST
180718 FIRST
180976 FIRST
181335 FIRST
181917 FIRST
182609 FIRST
182625 VISIT_EVENT
180972 FIRST
181906 FIRST
180262 FIRST
181918 FIRST
180263 FIRST
