id concurrent_type
197971 Event
197967 Event
197969 TREATMENT_EVENT
197968 TREATMENT_EVENT
197964 TREATMENT_EVENT
197960 TREATMENT_EVENT
197962 TREATMENT_EVENT
197966 Event
197963 TREATMENT_EVENT
197961 TREATMENT_EVENT
197970 TREATMENT_EVENT
197965 TREATMENT_EVENT
191663 TREATMENT_EVENT
191703 TREATMENT_EVENT
191676 TREATMENT_EVENT
191671 TREATMENT_EVENT
192861 TREATMENT_EVENT
191666 TREATMENT_EVENT
191674 TREATMENT_EVENT
191678 Event
192881 TREATMENT_EVENT
192864 TREATMENT_EVENT
191686 TREATMENT_EVENT
191679 Event
192863 TREATMENT_EVENT
192871 Event
191705 TREATMENT_EVENT
191688 TREATMENT_EVENT
192842 TREATMENT_EVENT
192857 TREATMENT_EVENT
191669 TREATMENT_EVENT
192880 Event
192866 TREATMENT_EVENT
192836 Event
192870 Event
191694 Event
191672 TREATMENT_EVENT
191702 TREATMENT_EVENT
192878 TREATMENT_EVENT
191687 TREATMENT_EVENT
192884 Event
191673 TREATMENT_EVENT
192860 TREATMENT_EVENT
192877 TREATMENT_EVENT
191680 TREATMENT_EVENT
192875 TREATMENT_EVENT
192845 TREATMENT_EVENT
192838 TREATMENT_EVENT
191685 TREATMENT_EVENT
191693 TREATMENT_EVENT
192868 Event
191704 TREATMENT_EVENT
192855 Event
191683 TREATMENT_EVENT
192850 TREATMENT_EVENT
191664 TREATMENT_EVENT
192856 TREATMENT_EVENT
192852 Event
191709 TREATMENT_EVENT
192862 TREATMENT_EVENT
192858 TREATMENT_EVENT
191668 TREATMENT_EVENT
192874 TREATMENT_EVENT
191696 Event
192849 TREATMENT_EVENT
191667 Event
192848 TREATMENT_EVENT
191697 Event
191712 TREATMENT_EVENT
191677 Event
191665 TREATMENT_EVENT
192873 TREATMENT_EVENT
191708 TREATMENT_EVENT
191713 Event
191707 TREATMENT_EVENT
191711 TREATMENT_EVENT
191695 TREATMENT_EVENT
192844 Event
192854 TREATMENT_EVENT
191675 TREATMENT_EVENT
191691 TREATMENT_EVENT
192839 TREATMENT_EVENT
192883 TREATMENT_EVENT
191682 TREATMENT_EVENT
191681 Event
192869 TREATMENT_EVENT
192859 TREATMENT_EVENT
191690 TREATMENT_EVENT
192847 TREATMENT_EVENT
191692 TREATMENT_EVENT
192837 TREATMENT_EVENT
191689 TREATMENT_EVENT
192841 TREATMENT_EVENT
192853 TREATMENT_EVENT
192840 Event
192879 TREATMENT_EVENT
191710 TREATMENT_EVENT
192846 Event
191670 TREATMENT_EVENT
192876 TREATMENT_EVENT
191701 TREATMENT_EVENT
192843 Event
192865 TREATMENT_EVENT
191700 TREATMENT_EVENT
191698 Event
192882 Event
192867 TREATMENT_EVENT
192851 Event
191684 TREATMENT_EVENT
191699 TREATMENT_EVENT
191706 TREATMENT_EVENT
192872 TREATMENT_EVENT
189063 TREATMENT_EVENT
189084 Event
189086 TREATMENT_EVENT
189054 TREATMENT_EVENT
189080 TREATMENT_EVENT
189085 TREATMENT_EVENT
189095 TREATMENT_EVENT
189090 TREATMENT_EVENT
189072 TREATMENT_EVENT
189055 TREATMENT_EVENT
189073 TREATMENT_EVENT
189096 Event
189094 TREATMENT_EVENT
189077 TREATMENT_EVENT
189079 Event
189083 Event
189060 Event
189062 Event
189088 TREATMENT_EVENT
189074 TREATMENT_EVENT
189066 TREATMENT_EVENT
189056 TREATMENT_EVENT
189075 Event
189091 TREATMENT_EVENT
189067 TREATMENT_EVENT
189064 TREATMENT_EVENT
189059 TREATMENT_EVENT
